"","Latitude","Longitude"
"547",54.25461,16.57813
"548",54.25445,16.57839
"549",54.25427,16.57863
"550",54.25418,16.57875
"551",54.25409,16.57891
"552",54.2539,16.57914
"553",54.25378,16.5793
"554",54.25355,16.57957
"555",54.25337,16.57984
"556",54.25327,16.57997
"557",54.25315,16.5801
"558",54.25304,16.58021
"559",54.25283,16.58049
"560",54.25263,16.5808
"561",54.25253,16.58098
"562",54.25232,16.58129
"563",54.25211,16.58155
"564",54.2519,16.58184
"565",54.2517,16.58211
"566",54.25158,16.58226
"567",54.25149,16.58239
"568",54.25125,16.58261
"569",54.25115,16.58274
"570",54.25105,16.58286
"571",54.25087,16.58313
"572",54.25079,16.58323
"573",54.25062,16.58351
"574",54.25043,16.58379
"575",54.25027,16.58413
"576",54.25018,16.5843
"577",54.25004,16.58459
"578",54.24995,16.58474
"579",54.24979,16.58502
"580",54.24971,16.58516
"581",54.24951,16.58544
"582",54.24927,16.58568
"583",54.24915,16.58577
"584",54.2489,16.58593
"585",54.24877,16.586
"586",54.24851,16.58612
"587",54.24838,16.58618
"588",54.24824,16.58623
"589",54.2481,16.58627
"590",54.24787,16.58634
"591",54.24776,16.58638
"592",54.24765,16.58641
"593",54.24744,16.58647
"594",54.24733,16.58651
"595",54.2471,16.58656
"596",54.24699,16.58657
"597",54.24676,16.58662
"598",54.24665,16.58664
"599",54.24653,16.58667
"600",54.24642,16.58669
"601",54.24622,16.5867
"602",54.24601,16.58669
"603",54.24581,16.58675
"604",54.24571,16.58682
"605",54.24559,16.58689
"606",54.24548,16.58696
"607",54.24536,16.58704
"608",54.24512,16.5871
"609",54.245,16.58712
"610",54.24487,16.58715
"611",54.24464,16.58718
"612",54.24441,16.58722
"613",54.24418,16.58726
"614",54.24406,16.58727
"615",54.24384,16.58729
"616",54.24359,16.58728
"617",54.24347,16.58727
"618",54.24323,16.58722
"619",54.24297,16.58718
"620",54.24284,16.58715
"621",54.24259,16.58712
"622",54.24247,16.58712
"623",54.24224,16.58714
"624",54.24212,16.58716
"625",54.242,16.58718
"626",54.24186,16.58719
"627",54.24161,16.58724
"628",54.2415,16.58725
"629",54.24128,16.58725
"630",54.24117,16.58727
"631",54.24096,16.58728
"632",54.24075,16.58728
"633",54.24051,16.58726
"634",54.24025,16.58723
"635",54.24012,16.58723
"636",54.23986,16.5872
"637",54.23974,16.58719
"638",54.23961,16.58717
"639",54.23949,16.58714
"640",54.23921,16.58714
"641",54.23907,16.58713
"642",54.23882,16.58713
"643",54.23869,16.58712
"644",54.23854,16.58712
"645",54.23829,16.58714
"646",54.23803,16.58713
"647",54.23779,16.58712
"648",54.23755,16.58713
"649",54.23744,16.58718
"650",54.23719,16.58721
"651",54.23694,16.58727
"652",54.23681,16.58729
"653",54.23668,16.5873
"654",54.23639,16.58734
"655",54.23611,16.58738
"656",54.23596,16.58739
"657",54.23568,16.58741
"658",54.23537,16.58747
"659",54.23523,16.58748
"660",54.23509,16.58748
"661",54.23485,16.58752
"662",54.23457,16.58757
"663",54.2343,16.58763
"664",54.23419,16.58764
"665",54.23407,16.58764
"666",54.23392,16.58766
"667",54.23381,16.5877
"668",54.23353,16.58775
"669",54.2334,16.58778
"670",54.23326,16.5878
"671",54.23297,16.58783
"672",54.23272,16.58786
"673",54.23259,16.58788
"674",54.23237,16.58791
"675",54.23225,16.58793
"676",54.23216,16.58794
"677",54.23196,16.58799
"678",54.23179,16.58811
"679",54.2316,16.5883
"680",54.2315,16.58838
"681",54.2314,16.5885
"682",54.23123,16.58869
"683",54.23104,16.58888
"684",54.23087,16.58906
"685",54.2307,16.58927
"686",54.23062,16.58939
"687",54.23046,16.58969
"688",54.2303,16.59001
"689",54.23014,16.59028
"690",54.23002,16.59049
"691",54.22994,16.59058
"692",54.22982,16.59057
"693",54.22961,16.59062
"694",54.22936,16.5907
"695",54.22923,16.59073
"696",54.22898,16.59079
"697",54.22871,16.59086
"698",54.22858,16.59088
"699",54.22833,16.5909
"700",54.2281,16.5909
"701",54.22787,16.59088
"702",54.22775,16.59087
"703",54.22765,16.59086
"704",54.22743,16.59085
"705",54.22733,16.59084
"706",54.22721,16.59082
"707",54.22697,16.59082
"708",54.22682,16.59081
"709",54.22653,16.59079
"710",54.22638,16.59077
"711",54.22623,16.59077
"712",54.22592,16.59076
"713",54.22576,16.59076
"714",54.22561,16.59076
"715",54.22531,16.59075
"716",54.22498,16.59072
"717",54.22481,16.5907
"718",54.22464,16.5907
"719",54.22449,16.59069
"720",54.22434,16.59068
"721",54.22404,16.59067
"722",54.22391,16.59066
"723",54.22366,16.59066
"724",54.22352,16.59063
"725",54.22339,16.59059
"726",54.22326,16.59055
"727",54.22297,16.59037
"728",54.2227,16.59014
"729",54.22258,16.59001
"730",54.22234,16.58981
"731",54.22222,16.58971
"732",54.222,16.5895
"733",54.22174,16.58924
"734",54.22156,16.58909
"735",54.22142,16.58897
"736",54.22128,16.58882
"737",54.221,16.58855
"738",54.22074,16.58829
"739",54.22061,16.58818
"740",54.22054,16.58811
"741",54.22044,16.588
"742",54.22037,16.58793
"743",54.22015,16.58772
"744",54.22003,16.5876
"745",54.2198,16.58738
"746",54.21968,16.58726
"747",54.21944,16.58699
"748",54.21932,16.58683
"749",54.21906,16.58657
"750",54.21883,16.58632
"751",54.21858,16.58604
"752",54.21832,16.58587
"753",54.21807,16.58565
"754",54.21793,16.58558
"755",54.21771,16.58538
"756",54.21747,16.58532
"757",54.21725,16.58532
"758",54.21716,16.58534
"759",54.21687,16.58531
"760",54.21667,16.58536
"761",54.21652,16.58549
"762",54.21625,16.58558
"763",54.21613,16.58562
"764",54.21591,16.58567
"765",54.2158,16.5857
"766",54.21559,16.58574
"767",54.21536,16.58582
"768",54.21527,16.58582
"769",54.2151,16.58573
"770",54.21505,16.58569
"771",54.21498,16.58559
"772",54.21491,16.58555
"773",54.21484,16.58534
"774",54.21476,16.58528
"775",54.21454,16.585
"776",54.21432,16.58461
"777",54.21413,16.5843
"778",54.21403,16.58414
"779",54.21381,16.5838
"780",54.21357,16.58344
"781",54.21346,16.58326
"782",54.21325,16.58291
"783",54.21314,16.58273
"784",54.21304,16.58256
"785",54.21284,16.58223
"786",54.21264,16.5819
"787",54.21246,16.58158
"788",54.21237,16.58143
"789",54.21217,16.5811
"790",54.21209,16.58095
"791",54.21199,16.58081
"792",54.21189,16.58064
"793",54.21168,16.58031
"794",54.21147,16.57997
"795",54.21125,16.57963
"796",54.21115,16.57945
"797",54.21095,16.5791
"798",54.21084,16.57893
"799",54.21074,16.57874
"800",54.21056,16.5784
"801",54.21033,16.57807
"802",54.2101,16.5777
"803",54.20997,16.57753
"804",54.20972,16.57721
"805",54.20961,16.57706
"806",54.20951,16.5769
"807",54.2094,16.57674
"808",54.2093,16.57659
"809",54.20911,16.57633
"810",54.20892,16.57606
"811",54.20883,16.57592
"812",54.20862,16.57566
"813",54.20834,16.57551
"814",54.20821,16.57541
"815",54.2081,16.57531
"816",54.20786,16.57515
"817",54.20762,16.57502
"818",54.20738,16.57484
"819",54.20725,16.57478
"820",54.20712,16.57467
"821",54.20687,16.5745
"822",54.20673,16.57442
"823",54.20651,16.57426
"824",54.20629,16.57417
"825",54.20608,16.57416
"826",54.20587,16.5742
"827",54.20559,16.57414
"828",54.20548,16.57414
"829",54.20536,16.57414
"830",54.2051,16.57416
"831",54.20498,16.57417
"832",54.20486,16.57418
"833",54.20473,16.57419
"834",54.20459,16.5742
"835",54.20434,16.5742
"836",54.2042,16.57421
"837",54.20397,16.57422
"838",54.20386,16.57422
"839",54.20368,16.57421
"840",54.20361,16.57422
"841",54.20353,16.57424
"842",54.20335,16.57425
"843",54.2033,16.57429
"844",54.20322,16.57434
"845",54.20309,16.57449
"846",54.20295,16.57465
"847",54.20288,16.57474
"848",54.20276,16.57493
"849",54.2027,16.57502
"850",54.20264,16.5751
"851",54.20252,16.57527
"852",54.20247,16.57536
"853",54.20232,16.57555
"854",54.20216,16.57572
"855",54.20206,16.57578
"856",54.20197,16.57584
"857",54.20178,16.57601
"858",54.20169,16.57612
"859",54.20149,16.57631
